id,abbrev,location,name,SportsRefName,SportsRefAlt,DonBestName,DonBestAlt,DonBestAlt2
2,AUB,Auburn,Tigers,Auburn,,Auburn,,
3,BIR,Birmingham-Southern,Panthers,Birmingham-Southern,,Birmingham-Southern,,
5,UAB,UAB,Blazers,Alabama-Birmingham,UAB,UAB,,
6,USA,South Alabama,Jaguars,South Alabama,,South Alabama,,
7,AMH,Amherst College,Lord Jeffs,Amherst College,,Amherst College,,
8,ARK,Arkansas,Razorbacks,Arkansas,,Arkansas,,
9,ASU,Arizona State,Sun Devils,Arizona State,,Arizona State,,
11,MESA,Colorado Mesa,Mavericks,Colorado Mesa,,Colorado Mesa,,
12,ARIZ,Arizona,Wildcats,Arizona,,Arizona,,
13,CP,Cal Poly,Mustangs,Cal Poly,,Cal Poly,,
15,ANN,Anna Maria College,Amcats,Anna Maria College,,Anna Maria College,,
16,SAC,Sacramento State,Hornets,Sacramento State,,Sacramento St,CS Sacramento,
17,CLA,Claremont,Stags,Claremont,,Claremont,,
18,BGW,Bridgewater State,Bears,Bridgewater State,,Bridgewater State,,
21,SDSU,San Diego State,Aztecs,San Diego State,,San Diego State,,
23,SJSU,San José State,Spartans,San José State,SJSU,San José State,,
24,STAN,Stanford,Cardinal,Stanford,,Stanford,,
25,CAL,California,Golden Bears,California,,California,,
26,UCLA,UCLA,Bruins,UCLA,,UCLA,,
29,RED,Redlands,Bulldogs,Redlands,,Redlands,,
30,USC,USC,Trojans,Southern California,USC,USC,,
32,CAR,Carroll (WI),Pioneers,Carroll (WI),,Carroll (WI),,
33,COL,Colby,White Mules,Colby,,Colby,,
36,CSU,Colorado State,Rams,Colorado State,,Colorado State,,
38,COLO,Colorado,Buffaloes,Colorado,,Colorado,,
40,CUR,Curry,Colonels,Curry,,Curry,,
41,CONN,Connecticut,Huskies,Connecticut,,Connecticut,,
43,YALE,Yale,Bulldogs,Yale,,Yale,,
46,GTWN,Georgetown,Hoyas,Georgetown,,Georgetown,,
47,HOW,Howard,Bison,Howard,,Howard,,
48,DEL,Delaware,Blue Hens,Delaware,,Delaware,,
49,DUB,Dubuque,Spartans,Dubuque,,Dubuque,,
50,FAMU,Florida A&M,Rattlers,Florida A&M,,Florida AM,Florida A&M,
52,FSU,Florida State,Seminoles,Florida State,,Florida State,,
53,FLTH,Florida Tech,Panthers,Florida Tech,,Florida Tech,,
55,JVST,Jacksonville State,Gamecocks,Jacksonville State,,Jacksonville State,Jacksonville St,
56,STET,Stetson,Hatters,Stetson,,Stetson,,
57,FLA,Florida,Gators,Florida,,Florida,,
58,USF,South Florida,Bulls,South Florida,,South Florida,,
59,GT,Georgia Tech,Yellow Jackets,Georgia Tech,,Georgia Tech,,
60,MOR,Morehouse,Tigers,Morehouse,,Morehouse,,
61,UGA,Georgia,Bulldogs,Georgia,,Georgia,,
62,HAW,Hawai&#39;i,Rainbow Warriors,Hawaii,,Hawaii,,
63,BUE,Buena Vista,Beavers,Buena Vista,,Buena Vista,,
65,GRI,Grinnell,Pioneers,Grinnell,,Grinnell,,
66,ISU,Iowa State,Cyclones,Iowa State,,Iowa State,,
67,LUT,Luther,Norse,Luther,,Luther,,
68,BSU,Boise State,Broncos,Boise State,,Boise State,,
70,IDHO,Idaho,Vandals,Idaho,,Idaho,,
72,ELM,Elmhurst,Blue Jays,Elmhurst,,Elmhurst,,
74,MIL,Millikin,Big Blue,Millikin,,Millikin,,
75,NOR,North Park,Vikings,North Park,,North Park,,
77,NW,Northwestern,Wildcats,Northwestern,,Northwestern,,
79,SIU,Southern Illinois,Salukis,Southern Illinois,,So Illinois,,
80,CHI,Chicago,Maroons,Chicago,,Chicago,,
81,SPR,Springfield,Pride,Springfield,,Springfield,,
83,DEP,DePauw,Tigers,DePauw,,DePauw,,
84,IND,Indiana,Hoosiers,Indiana,,Indiana,,
86,ROS,Rose-Hulman,Engineers,Rose-Hulman,,Rose-Hulman,,
87,ND,Notre Dame,Fighting Irish,Notre Dame,,Notre Dame,,
89,WAB,Wabash College,Little Giants,Wabash College,,Wabash College,,
90,PIT,Pittsburg State,Gorillas,Pittsburg State,,Pittsburg State,,
93,MURR,Murray State,Racers,Murray State,,Murray State,Murray St,
95,PIK,Pikeville,Bears,Pikeville,,Pikeville,,
96,UK,Kentucky,Wildcats,Kentucky,,Kentucky,,
97,LOU,Louisville,Cardinals,Louisville,,Louisville,,
98,WKU,Western Kentucky,Hilltoppers,Western Kentucky,,Western Kentucky,,
99,LSU,LSU,Tigers,Louisiana State,LSU,LSU,,
101,EUR,Eureka College,Red Devils,Eureka College,,Eureka College,,
103,BC,Boston College,Eagles,Boston College,,Boston College,,
107,HC,Holy Cross,Crusaders,Holy Cross,,Holy Cross,,
108,HARV,Harvard,Crimson,Harvard,,Harvard,,
109,MIT,MIT,Engineers,MIT,,MIT,,
110,MAS,Mass Maritime,Buccaneers,Mass Maritime,,Mass Maritime,,
111,NE,Northeastern,Huskies,Northeastern,,Northeastern,,
112,TUF,Tufts,Jumbos,Tufts,,Tufts,,
113,UMASS,Massachusetts,Minutemen,Massachusetts,,Massachusetts,,
114,FIT,Fitchburg State,Falcons,Fitchburg State,,Fitchburg State,,
118,JOH,Johns Hopkins,Blue Jays,Johns Hopkins,,Johns Hopkins,,
119,TOWS,Towson,Tigers,Towson,,Towson,,
120,MD,Maryland,Terrapins,Maryland,,Maryland,,
121,BAT,Bates College,Bobcats,Bates College,,Bates College,,
124,AUG,Augsburg,Auggies,Augsburg,,Augsburg,,
125,GVSU,Grand Valley State,Lakers,Grand Valley State,,Grand Valley State,,
126,KAL,Kalamazoo,Hornets,Kalamazoo,,Kalamazoo,,
127,MSU,Michigan State,Spartans,Michigan State,,Michigan State,,
128,NOR,Northern Michigan,Wildcats,Northern Michigan,,Northern Michigan,,
129,SAG,Saginaw Valley,Cardinals,Saginaw Valley,,Saginaw Valley,,
130,MICH,Michigan,Wolverines,Michigan,,Michigan,,
131,WAY,Wayne State (MI),Warriors,Wayne State (MI),,Wayne State (MI),,
132,BEM,Bemidji State,Beavers,Bemidji State,,Bemidji State,,
133,STO,St. Olaf College,Oles,St. Olaf College,,St. Olaf College,,
134,MNDU,Minnesota-Duluth,Bulldogs,Minnesota-Duluth,,Minnesota-Duluth,,
135,MINN,Minnesota,Golden Gophers,Minnesota,,Minnesota,,
137,MOW,Missouri Western,Griffons,Missouri Western,,Missouri Western,,
138,NWMS,Northwest Missouri State,Bearcats,Northwest Missouri State,,Northwest Missouri State,,
142,MIZ,Missouri,Tigers,Missouri,,Missouri,,
143,WAS,Washington (MO),Bears,Washington (MO),,Washington (MO),,
145,MISS,Ole Miss,Rebels,Mississippi,Ole Miss,Mississippi,,
146,GRO,Grove City College,Wolverines,Grove City College,,Grove City College,,
147,MTST,Montana State,Bobcats,Montana State,,Montana State,Montana St,
148,MAI,Montana Tech,Orediggers,Montana Tech,,Montana Tech,,
149,MONT,Montana,Grizzlies,Montana,,Montana,,
150,DUKE,Duke,Blue Devils,Duke,,Duke,,
151,ECU,East Carolina,Pirates,East Carolina,,East Carolina,,
152,NCST,NC State,Wolfpack,North Carolina State,,NC State,North Carolina State,
153,UNC,North Carolina,Tar Heels,North Carolina,,North Carolina,,
154,WAKE,Wake Forest,Demon Deacons,Wake Forest,,Wake Forest,,
155,UND,North Dakota,Fighting Hawks,North Dakota,,North Dakota,,
158,NEB,Nebraska,Cornhuskers,Nebraska,,Nebraska,,
159,DART,Dartmouth,Big Green,Dartmouth,,Dartmouth,,
160,UNH,New Hampshire,Wildcats,New Hampshire,,New Hampshire,,
162,HAM,Hamline,Fighting Pipers,Hamline,,Hamline,,
163,PRIN,Princeton,Tigers,Princeton,,Princeton,,
164,RUTG,Rutgers,Scarlet Knights,Rutgers,,Rutgers,,
166,NMSU,New Mexico State,Aggies,New Mexico State,,New Mexico State,,
167,UNM,New Mexico,Lobos,New Mexico,,New Mexico,,
171,CLMB,Columbia,Lions,Columbia,,Columbia,,
172,COR,Cornell,Big Red,Cornell,,Cornell,,
173,HAR,Hartwick,Hawks,Hartwick,,Hartwick,,
174,HOB,Hobart,Statesmen,Hobart,,Hobart,,
175,ITH,Ithaca,Bombers,Ithaca,,Ithaca,,
183,SYR,Syracuse,Orange,Syracuse,,Syracuse,,
184,ROC,Rochester,Yellow Jackets,Rochester,,Rochester,,
188,BAL,Baldwin-Wallace,Yellow Jackets,Baldwin-Wallace,,Baldwin-Wallace,,
189,BGSU,Bowling Green,Falcons,Bowling Green State,,Bowling Green,,
190,DEF,Defiance,Yellow Jackets,Defiance,,Defiance,,
191,HEI,Heidelberg,Student Princes,Heidelberg,,Heidelberg,,
193,M-OH,Miami (OH),RedHawks,Miami (OH),,Miami Ohio,,
194,OSU,Ohio State,Buckeyes,Ohio State,,Ohio State,,
195,OHIO,Ohio,Bobcats,Ohio,,Ohio,,
196,NEO,Northeastern State,RiverHawks,Northeastern State,,Northeastern State,,
197,OKST,Oklahoma State,Cowboys,Oklahoma State,,Oklahoma State,,
199,SEOS,Southeastern Oklahoma,Savage Storm,Southeastern Oklahoma,,Southeastern Oklahoma,,
200,STN,Southern Nazarene,Crimson Storm,Southern Nazarene,,Southern Nazarene,,
201,OKLA,Oklahoma,Sooners,Oklahoma,,Oklahoma,,
202,TLSA,Tulsa,Golden Hurricane,Tulsa,,Tulsa,,
203,LIN,Linfield,Wildcats,Linfield,,Linfield,,
204,ORST,Oregon State,Beavers,Oregon State,,Oregon State,,
205,PAC,Pacific (OR),Boxers,Pacific (OR),,Pacific (OR),,
209,LOC,Lock Haven,Bald Eagles,Lock Haven,,Lock Haven,,
210,MIL,Millersville,Marauders,Millersville,,Millersville,,
213,PSU,Penn State,Nittany Lions,Penn State,,Penn State,,
215,SRU,Slippery Rock,The Rock,Slippery Rock,,Slippery Rock,,
216,SUS,Susquehanna,Crusaders,Susquehanna,,Susquehanna,,
218,TEM,Temple,Owls,Temple,,Temple,,
219,PENN,Penn,Quakers,Penn,,Penn,,
221,PITT,Pittsburgh,Panthers,Pittsburgh,Pitt,Pittsburgh,,
222,NOVA,Villanova,Wildcats,Villanova,,Villanova,,
223,WES,West Chester,Golden Rams,West Chester,,West Chester,,
225,BRWN,Brown,Bears,Brown,,Brown,,
227,URI,Rhode Island,Rams,Rhode Island,,Rhode Island,,
228,CLEM,Clemson,Tigers,Clemson,,Clemson,,
231,FUR,Furman,Paladins,Furman,,Furman,,
233,SDAK,South Dakota,Coyotes,South Dakota,,South Dakota,,
235,MEM,Memphis,Tigers,Memphis,,Memphis,,
236,CHAT,Chattanooga,Mocs,Chattanooga,,Chattanooga,UT Chattanooga,Tenn Chat
237,UNI,Union,Dutchmen,Union,,Union,,
238,VAN,Vanderbilt,Commodores,Vanderbilt,,Vanderbilt,,
239,BAY,Baylor,Bears,Baylor,,Baylor,,
241,MCM,McMurry,War Hawks,McMurry,,McMurry,,
242,RICE,Rice,Owls,Rice,,Rice,,
245,TA&M,Texas A&M,Aggies,Texas A&M,,Texas A&M,Texas AM,
246,JUN,Juniata,Eagles,Juniata,,Juniata,,
247,KIN,King&#39;s College (PA),Monarchs,King&#39;s College (PA),,King&#39;s College (PA),,
248,HOU,Houston,Cougars,Houston,,Houston,,
249,UNT,North Texas,Mean Green,North Texas,,North Texas,,
251,TEX,Texas,Longhorns,Texas,,Texas,,
252,BYU,BYU,Cougars,Brigham Young,,BYU,,
253,SUU,Southern Utah,Thunderbirds,Southern Utah,,Southern Utah,,
254,UTAH,Utah,Utes,Utah,,Utah,,
255,KNO,Knox College,Prairie Fire,Knox College,,Knox College,,
256,JMU,James Madison,Dukes,James Madison,,James Madison,,
257,RICH,Richmond,Spiders,Richmond,,Richmond,,
258,UVA,Virginia,Cavaliers,Virginia,,Virginia,,
259,VT,Virginia Tech,Hokies,Virginia Tech,,Virginia Tech,,
262,LAK,Lake Forest,Foresters,Lake Forest,,Lake Forest,,
263,LOR,Loras College,Duhawks ,Loras College,,Loras College,,
264,WASH,Washington,Huskies,Washington,,Washington,,
265,WSU,Washington State,Cougars,Washington State,,Washington State,,
266,BEL,Beloit College,Buccaneers,Beloit College,,Beloit College,,
267,SEFL,Southeastern University,Fire,Southeastern University,,Southeastern University,,
268,LAW,Lawrence,Vikings,Lawrence,,Lawrence,,
271,WIS,UW-Oshkosh,Titans,UW-Oshkosh,,UW-Oshkosh,,
272,WIS,Wisconsin-Platteville,Pioneers,Wisconsin-Platteville,,Wisconsin-Platteville,,
273,MAC,MacMurray College,Highlanders,MacMurray College,,MacMurray College,,
274,MAI,Maine Maritime,Mariners,Maine Maritime,,Maine Maritime,,
275,WIS,Wisconsin,Badgers,Wisconsin,,Wisconsin,,
276,MRSH,Marshall,Thundering Herd,Marshall,,Marshall,,
277,WVU,West Virginia,Mountaineers,West Virginia,,West Virginia,,
278,FRES,Fresno State,Bulldogs,Fresno State,,Fresno State,,
282,INST,Indiana State,Sycamores,Indiana State,,Indiana State,Indiana St,
284,SBI,Stonehill,Chieftains,Stonehill,,Stonehill,,
286,UNCW,NC Wesleyan,Battling Bishops,NC Wesleyan,,NC Wesleyan,,
290,GASO,Georgia Southern,Eagles,Georgia Southern,,Georgia Southern,,
291,MTH,Methodist,Monarchs,Methodist,,Methodist,,
293,CAS,Castleton State College,Spartans,Castleton State College,,Castleton State College,,
294,JAC,Jacksonville,Dolphins,Jacksonville,,Jacksonville,,
295,ODU,Old Dominion,Monarchs,Old Dominion,,Old Dominion,,
297,HAM,Hampden-Sydney,Tigers,Hampden-Sydney,,Hampden-Sydney,,
301,USD,San Diego,Toreros,San Diego,,San Diego,,
302,UCD,UC Davis,Aggies,California-Davis,,UC Davis,,
304,IDST,Idaho State,Bengals,Idaho State,,Idaho State,Idaho St,
306,ILL,Illinois Wesleyan,Titans,Illinois Wesleyan,,Illinois Wesleyan,,
308,ASH,Ashland,Eagles,Ashland,,Ashland,,
309,ULL,Louisiana Lafayette,Ragin&#39; Cajuns,Louisiana-Lafayette,,UL - Lafayette,UL-Lafayette,UL Lafayette
311,MAINE,Maine,Black Bears,Maine,,Maine,,
314,IONA,Iona,Gaels,Iona,,Iona,,
316,DIC,Dickinson State,Blue Hawks,Dickinson State,,Dickinson State,,
317,MAR,Marietta,Pioneers,Marietta,,Marietta,,
319,OB,Oklahoma Baptist,Bison,Oklahoma Baptist,,Oklahoma Baptist,,
322,LAF,Lafayette,Leopards,Lafayette,,Lafayette,,
323,MOR,Moravian,Greyhounds,Moravian,,Moravian,,
324,CCU,Coastal Carolina,Chanticleers,Coastal Carolina,,Coastal Carolina,,
326,TXST,Texas State,Bobcats,Texas State,,Texas State,,
328,USU,Utah State,Aggies,Utah State,,Utah State,,
330,VIR,Virginia State,Trojans,Virginia State,,Virginia State,,
331,EWU,Eastern Washington,Eagles,Eastern Washington,,East Washington,,
332,MUS,Muskingum,Muskies,Muskingum,,Muskingum,,
333,ALA,Alabama,Crimson Tide,Alabama,,Alabama,,
336,WES,Wesleyan,Cardinals,Wesleyan,,Wesleyan,,
338,KENN,Kennesaw State,Owls,Kennesaw State,,Kennesaw State,,
340,BOW,Bowdoin,Polar Bears,Bowdoin,,Bowdoin,,
341,FRO,Frostburg State,Bobcats,Frostburg State,,Frostburg State,,
344,MSST,Mississippi State,Bulldogs,Mississippi State,,Mississippi State,,
348,HAM,Hamilton,Continentals,Hamilton,,Hamilton,,
349,ARMY,Army,Black Knights,Army,,Army,,
351,WIN,Wingate,Bulldogs,Wingate,,Wingate,,
352,KEN,Kenyon,Lords,Kenyon,,Kenyon,,
354,OLI,Olivet College,Comets,Olivet College,,Olivet College,,
356,ILL,Illinois,Fighting Illini,Illinois,,Illinois,,
359,OTT,Otterbein,Cardinals,Otterbein,,Otterbein,,
363,PRI,Principia College,Panthers,Principia College,,Principia College,,
365,ALF,Alfred,Saxons,Alfred,,Alfred,,
366,FER,Ferrum,Panthers,Ferrum,,Ferrum,,
367,GAN,Gannon,Golden Knights,Gannon,,Gannon,,
374,STJ,St. John Fisher,Cardinals,St. John Fisher,,St. John Fisher,,
375,SS,St. Scholastica,College of St. Scholastica,St. Scholastica,,St. Scholastica,,
379,MAS,UMass Dartmouth,Corsairs,UMass Dartmouth,,UMass Dartmouth,,
386,TRI,Trinity (TX),Tigers,Trinity (TX),,Trinity (TX),,
388,LEB,Lebanon Valley,Flying Dutchmen,Lebanon Valley,,Lebanon Valley,,
389,UI,Upper Iowa,Peacocks,Upper Iowa,,Upper Iowa,,
390,UTI,Utica College,Pioneers,Utica College,,Utica College,,
391,OBE,Oberlin,Yeomen,Oberlin,,Oberlin,,
395,STA,St. Augustine&#39;s,Falcons,St. Augustine&#39;s,,St. Augustine&#39;s,,
396,WHE,Wheaton College (Ill),Thunder,Wheaton College (Ill),,Wheaton College (Ill),,
398,WIL,Wilkes,Colonels,Wilkes,,Wilkes,,
399,ALBY,Albany,Great Danes,Albany,,Albany,,
402,WOR,Worcester State College,Lancers,Worcester State College,,Worcester State College,,
409,CON,Concordia (WI),Falcons,Concordia (WI),,Concordia (WI),,
411,CHA,Chapman,Panthers,Chapman,,Chapman,,
415,GFU,George Fox University,Bruins,George Fox University,,George Fox University,,
417,GAL,Gallaudet,Bison,Gallaudet,,Gallaudet,,
418,HEND,Hendrix College,Warriors,Hendrix College,,Hendrix College,,
419,MAN,Mid Am Nazarene,Mid Am Nazarene,Mid Am Nazarene,,Mid Am Nazarene,,
421,MAR,Maranatha Baptist College,Crusaders,Maranatha Baptist College,,Maranatha Baptist College,,
424,CAP,Capital,Crusaders,Capital,,Capital,,
425,NOR,Northern State,Wolves,Northern State,,Northern State,,
426,MTU,Mount Union,Raiders,Mount Union,,Mount Union,,
427,ON,Ohio Northern,Polar Bears,Ohio Northern,,Ohio Northern,,
433,WMN,Westminster,Blue Jays,Westminster,,Westminster,,
437,LKE,Lake Erie College,Storm,Lake Erie College,,Lake Erie College,,
446,MAR,Martin Luther College,Knights,Martin Luther College,,Martin Luther College,,
452,END,Endicott College,Gulls,Endicott College,,Endicott College,,
455,WVW,WV Wesleyan,Bobcats,WV Wesleyan,,WV Wesleyan,,
471,STU,Stevenson,Mustangs,Stevenson,,Stevenson,,
479,BEC,Becker College,Hawks,Becker College,,Becker College,,
481,MOU,Mount Ida College,Mustangs,Mount Ida College,,Mount Ida College,,
487,BKN,Bacone College,Warriors,Bacone College,,Bacone College,,
488,BAK,Baker University,Wildcats,Baker University,,Baker University,,
490,BBG,Benedict College,Tigers,Benedict College,,Benedict College,,
492,BET,Bethany (KS),Swedes,Bethany (KS),,Bethany (KS),,
495,BLU,Bluefield College,Rams,Bluefield College,,Bluefield College,,
507,CCD,Concordia (NE),Concordia University (NE),Concordia (NE),,Concordia (NE),,
509,CRO,Crown College,Storm,Crown College,,Crown College,,
510,CUL,Culver-Stockton,Wildcats,Culver-Stockton,,Culver-Stockton,,
511,CUM,Cumberland College,Indians,Cumberland College,,Cumberland College,,
512,DSU,Dakota State,Trojans,Dakota State,,Dakota State,,
513,DWU,Dakota Wesleyan,Tigers,Dakota Wesleyan,,Dakota Wesleyan,,
527,FRIE,Friends University,Falcons,Friends University,,Friends University,,
535,HAS,Haskell Indian Nations,Jayhawks,Haskell Indian Nations,,Haskell Indian Nations,,
547,KNW,Kansas Wesleyan University,Coyotes,Kansas Wesleyan University,,Kansas Wesleyan University,,
548,LAG,LaGrange College,Panthers,LaGrange College,,LaGrange College,,
556,MAL,Malone,Pioneers,Malone,,Malone,,
559,MAR,University of Mary,Marauders,University of Mary,,University of Mary,,
