id,abbrev,location,name,SportsRefName,SportsRefAlt,DonBestName,DonBestAlt,DonBestAlt2
2559,SHI,Shippensburg,Raiders,Shippensburg,,Shippensburg,,
2560,SHO,Shorter,Hawks,Shorter,,Shorter,,
2561,SIE,Siena,Saints,Siena,,Siena,,
2562,SH,Siena Heights,Saints,Siena Heights,,Siena Heights,,
2564,SIM,Simpson College,Storm,Simpson College,,Simpson College,,
2567,SMU,SMU,Mustangs,Southern Methodist,SMU,SMU,,
2568,SOU,Southern Arkansas,Muleriders,Southern Arkansas,,Southern Arkansas,,
2569,SCST,South Carolina State,Bulldogs,South Carolina State,,South Carolina State,So Carolina St,
2570,CSUP,Colorado State-Pueblo,Thunderwolves,Colorado State-Pueblo,,Colorado State-Pueblo,,
2571,SDSU,South Dakota State,Jackrabbits,South Dakota State,,South Dakota State,South Dakota St,
2572,USM,Southern Mississippi,Golden Eagles,Southern Mississippi,,Southern Miss,So Mississippi,
2579,SC,South Carolina,Gamecocks,South Carolina,,South Carolina,,
2582,SOU,Southern,Jaguars,Southern,,Southern,,
2583,SOU,Southern Connecticut State,Owls,Southern Connecticut State,,Southern Connecticut State,,
2584,SOU,Southern Oregon,Raiders,Southern Oregon,,Southern Oregon,,
2586,SWB,Southwest Baptist,Bearcats,Southwest Baptist,,Southwest Baptist,,
2587,SWM,Southwest Minnesota State,Mustangs,Southwest Minnesota State,,Southwest Minnesota State,,
2588,SW,Southwestern University,Pirates,Southwestern University,,Southwestern University,,
2591,STA,St. Ambrose,Fighting Bees,St. Ambrose,,St. Ambrose,,
2594,STC,St. Cloud State,Huskies,St. Cloud State,,St. Cloud State,,
2595,SFIL,St. Francis (IL),Fighting Saints,St. Francis (IL),,St. Francis (IL),,
2598,SFU,St Francis (PA),Red Flash,St Francis (PA),,St Francis (PA),St. Francis (PA),
2600,STJ,St. Johns (MN),Johnnies,St. Johns (MN),,St. Johns (MN),,
2601,STJ,St. Joseph&#39;s (IN),Pumas,St. Joseph&#39;s (IN),,St. Joseph&#39;s (IN),,
2608,SMC,St. Mary&#39;s (CA),Gaels,St. Mary&#39;s (CA),,St. Mary&#39;s (CA),,
2611,STP,St. Paul&#39;s College,Tigers,St. Paul&#39;s College,,St. Paul&#39;s College,,
2612,SPU,St. Peter&#39;s,Peacocks,St. Peter&#39;s,,St. Peter&#39;s,,
2614,STV,St. Vincent,Bearcats,St. Vincent,,St. Vincent,,
2615,STX,St. Xavier (IL),Cougars,St. Xavier (IL),,St. Xavier (IL),,
2617,SFA,Stephen F Austin,Lumberjacks,Stephen F. Austin,,Stephen F.Austin,Stephen F. Austin,
2619,STON,Stony Brook,Seawolves,Stony Brook,,Stony Brook,,
2623,MOST,Missouri State,Bears,Missouri State,,Missouri St,,
2627,TAR,Tarleton State,Texans,Tarleton State,,Tarleton State,,
2628,TCU,TCU,Horned Frogs,Texas Christian,,TCU,,
2630,UTM,UT Martin,Skyhawks,Tennessee-Martin,,Tennessee Martin,Tenn. Martin,
2633,TENN,Tennessee,Volunteers,Tennessee,,Tennessee,,
2634,TNST,Tennessee State,Tigers,Tennessee State,,Tennessee St,,
2635,TNTC,Tennessee Tech,Golden Eagles,Tennessee Tech,,Tennessee Tech,,
2636,UTSA,Texas San Antonio,Roadrunners,Texas-San Antonio,UTSA,UTSA,Tex San Antonio,
2637,TXCL,Texas College,Steers,Texas College,,Texas College,,
2638,UTEP,UTEP,Miners,Texas-El Paso,UTEP,UTEP,,
2639,TEX,Texas Lutheran,Bulldogs,Texas Lutheran,,Texas Lutheran,,
2640,TXSO,Texas Southern,Tigers,Texas Southern,,Texas Southern,,
2641,TTU,Texas Tech,Red Raiders,Texas Tech,,Texas Tech,,
2643,CIT,The Citadel,Bulldogs,Citadel,,The Citadel,,
2644,THI,Thiel College,Tomcats,Thiel College,,Thiel College,,
2646,THO,Thomas More,Saints,Thomas More,,Thomas More,,
2649,TOL,Toledo,Rockets,Toledo,,Toledo,,
2651,TRI,Trine,Thunder,Trine,,Trine,,
2652,TRI,Trinity (IL),Trojans,Trinity (IL),,Trinity (IL),,
2653,TROY,Troy,Trojans,Troy,,Troy,,
2654,TRU,Truman State,Bulldogs,Truman State,,Truman State,,
2655,TULN,Tulane,Green Wave,Tulane,,Tulane,,
2657,TUS,Tuskegee,Golden Tigers,Tuskegee,,Tuskegee,,
2658,TXA,Texas A&M-Kingsville,Javelinas,Texas A&M-Kingsville,,Texas A&M-Kingsville,,
2666,URB,Urbana,Blue Knights,Urbana,,Urbana,,
2667,URS,Ursinus,Bears,Ursinus,,Ursinus,,
2673,VAL,Valdosta State,Blazers,Valdosta State,,Valdosta State,,
2674,VALP,Valparaiso,Crusaders,Valparaiso,,Valparaiso,,
2676,VIR,Virginia Union,Panthers,Virginia Union,,Virginia Union,,
2678,VMI,VMI,Keydets,Virginia Military Institute,,VMI,,
2681,WAG,Wagner,Seahawks,Wagner,,Wagner,,
2682,WAL,Walsh,Cavaliers,Walsh,,Walsh,,
2683,UWS,Warner,Royals,Warner,,Warner,,
2685,WAR,Wartburg,Knights,Wartburg,,Wartburg,,
2686,WAS,Washington & Jefferson,Presidents,Washington & Jefferson,,Washington & Jefferson,,
2687,WAS,Washburn,Ichabods,Washburn,,Washburn,,
2688,UWL,Washington & Lee,Generals,Washington & Lee,,Washington & Lee,,
2691,WEBB,Webber International,Warriors,Webber International,,Webber International,,
2692,WEB,Weber State,Wildcats,Weber State,,Weber State,Weber St,
2695,WES,West Alabama,Tigers,West Alabama,,West Alabama,,
2698,WES,West Georgia,Wolves,West Georgia,,West Georgia,,
2699,WES,West Liberty,Hilltoppers,West Liberty,,West Liberty,,
2700,MCD,McDaniel College,Terrors,McDaniel College,,McDaniel College,,
2701,MWST,Montana-Western,Bulldogs,Montana-Western,,Montana-Western,,
2702,WES,Western New England,Golden Bears,Western New England,,Western New England,,
2703,WES,Western New Mexico,Mustangs,Western New Mexico,,Western New Mexico,,
2704,WES,West Texas A&M,Buffaloes,West Texas A&M,,West Texas A&M,,
2706,WVT,West Virginia Tech,Golden Bears,West Virginia Tech,,West Virginia Tech,,
2707,WES,WV State,Yellow Jackets,WV State,,WV State,,
2710,WIU,Western Illinois,Leathernecks,Western Illinois,,Western Illinois,,
2711,WMU,Western Michigan,Broncos,Western Michigan,,Western Michigan,,
2714,WES,Western State,Mountaineers,Western State,,Western State,,
2717,WCU,Western Carolina,Catamounts,Western Carolina,,Western Carolina,,
2721,WHI,Whitworth,Pirates,Whitworth,,Whitworth,,
2723,WIS,UW-River Falls,Falcons,UW-River Falls,,UW-River Falls,,
2725,WID,Widener,Pride,Widener,,Widener,,
2729,W&M,William & Mary,Tribe,William & Mary,,William Mary,William  Mary,William & Mary
2731,WIL,Williams,Ephs,Williams,,Williams,,
2733,WIL,Wilmington (OH),Quakers,Wilmington (OH),,Wilmington (OH),,
2736,WSSU,Winston-Salem,Rams,Winston-Salem,,Winston-Salem,,
2738,WIS,Wisconsin-Eau Claire,Blugolds,Wisconsin-Eau Claire,,Wisconsin-Eau Claire,,
2740,WIS,Wisconsin-La Crosse,Eagles,Wisconsin-La Crosse,,Wisconsin-La Crosse,,
2741,WIS,Wisconsin Lutheran,Warriors,Wisconsin Lutheran,,Wisconsin Lutheran,,
2743,WIS,Wisconsin-Stevens Point,Pointers,Wisconsin-Stevens Point,,Wisconsin-Stevens Point,,
2744,WIS,UW-Stout,Blue Devils,UW-Stout,,UW-Stout,,
2745,WISW,UW-Whitewater,Warhawks,UW-Whitewater,,UW-Whitewater,,
2746,WIT,Wittenberg,Tigers,Wittenberg,,Wittenberg,,
2747,WOF,Wofford,Terriers,Wofford,,Wofford,,
2748,WOO,Wooster,Fighting Scots,Wooster,,Wooster,,
2749,WPI,Worcester Polytechnic,Engineers,Worcester Polytechnic,,Worcester Polytechnic,,
2750,WRST,Wright State University,Raiders,Wright State University,,Wright State University,,
2751,WYO,Wyoming,Cowboys,Wyoming,,Wyoming,,
2752,XAV,Xavier,Mustketeers,Xavier,,Xavier,,
2754,YSU,Youngstown State,Penguins,Youngstown State,,Youngstown State,Youngstown St,
2755,GRAM,Grambling,Tigers,Grambling State,,Grambling State,Grambling,
2757,BER,Berry College,Vikings,Berry College,,Berry College,,
2758,HOW,Howard Payne,Yellow Jackets,Howard Payne,,Howard Payne,,
2771,MER,Merrimack,Warriors,Merrimack,,Merrimack,,
2772,MIN,Minnesota-Crookston,Golden Eagles,Minnesota-Crookston,,Minnesota-Crookston,,
2776,SAL,Salve Regina,Seahawks,Salve Regina,,Salve Regina,,
2779,STL,St Lawrence,Saints,St Lawrence,,St Lawrence,,
2781,BRO,Brockport State (NY),Golden Eagles,Brockport State (NY),,Brockport State (NY),,
2782,COR,SUNY Cortland,Red Dragons,SUNY Cortland,,SUNY Cortland,,
2790,ALBI,Albion,Britons,Albion,,Albion,,
2800,ALM,Alma College,Scots,Alma College,,Alma College,,
2802,BET,Bethel (MN),Royals,Bethel (MN),,Bethel (MN),,
2803,BRY,Bryant,Bulldogs,Bryant,,Bryant,,
2804,CHO,Chowan,Braves,Chowan,,Chowan,,
2805,CLK,Clark Atlanta,Panthers,Clark Atlanta,,Clark Atlanta,,
2808,DV,Delaware Valley,Aggies,Delaware Valley,,Delaware Valley,,
2810,HAR,Hardin-Simmons,Cowboys,Hardin-Simmons,,Hardin-Simmons,,
2812,HOP,Hope,Flying Dutchmen,Hope,,Hope,,
2815,LIN,Lindenwood,Lions,Lindenwood,,Lindenwood,,
2816,MAN,McKendree,Bearcats,McKendree,,McKendree,,
2817,MOO,Minnesota St-Moorhead,Dragon,Minnesota St-Moorhead,,Minnesota St-Moorhead,,
2818,MON,Montclair State,Red Hawks,Montclair State,,Montclair State,,
2822,NGR,North Greenville,Crusaders,North Greenville,,North Greenville,,
2823,NWO,Northwestern Oklahoma State,Rangers,Northwestern Oklahoma State,,Northwestern Oklahoma State,,
2824,OKP,OK Panhandle St,Aggies,OK Panhandle St,,OK Panhandle St,,
2825,QUI,Quincy,Hawks,Quincy,,Quincy,,
2826,RRK,Rocky Mountain,Bears,Rocky Mountain,,Rocky Mountain,,
2827,ROW,Rowan,Profs,Rowan,,Rowan,,
2828,SHE,Shenandoah,Hornets,Shenandoah,,Shenandoah,,
2829,SIM,Simon Fraser,Clansmen,Simon Fraser,,Simon Fraser,,
2830,STA,St. Anselm,Hawks,St. Anselm,,St. Anselm,,
2831,SBP,St. Francis (IN),Cougars,St. Francis (IN),,St. Francis (IN),,
2832,STN,St. Norbert,Green Knights,St. Norbert,,St. Norbert,,
2834,SUL,Sul Ross State,Lobos,Sul Ross State,,Sul Ross State,,
2837,TXA,Texas A&M-Commerce,Lions,Texas A&M-Commerce,,Texas A&M-Commerce,,
2838,TIF,Tiffin,Dragons,Tiffin,,Tiffin,,
2839,TUS,Tusculum,Pioneers,Tusculum,,Tusculum,,
2841,UNI,Union College,Dutchmen,Union College,,Union College,,
2842,VAW,UVA-Wise,Highland Cavaliers,UVA-Wise,,UVA-Wise,,
2843,WES,Western Connecticut State,Colonials,Western Connecticut State,,Western Connecticut State,,
2844,WAY,Wayne State (NE),Wildcats,Wayne State (NE),,Wayne State (NE),,
2845,WAY,Waynesburg,Yellow Jackets,Waynesburg,,Waynesburg,,
2846,WES,Wesley College,Wolverines,Wesley College,,Wesley College,,
2847,WES,Western Washington,Vikings,Western Washington,,Western Washington,,
2848,WES,Western Oregon,Wolves,Western Oregon,,Western Oregon,,
2849,WMN,Westminster PA,Titans,Westminster PA,,Westminster PA,,
2850,WHI,Whittier,Poets,Whittier,,Whittier,,
2851,WIN,Winona State,Warriors,Winona State,,Winona State,,
2858,CAL,California (PA),Vulcans,California (PA),,California (PA),,
2860,CDF,Central Methodist,Eagles,Central Methodist,,Central Methodist,,
2865,EVA,Evangel,Crusaders,Evangel,,Evangel,,
2871,KEA,Kean,Cougars,Kean,,Kean,,
2876,LIN,Lincoln (MO),Blue Tigers,Lincoln (MO),,Lincoln (MO),,
2877,LIN,Lindsey Wilson,Blue Raiders,Lindsey Wilson,,Lindsey Wilson,,
2880,MB,Missouri Baptist,Spartans,Missouri Baptist,,Missouri Baptist,,
2882,NCP,UNC Pembroke,Braves,UNC Pembroke,,UNC Pembroke,,
2884,NIC,Nichols,Bison,Nichols,,Nichols,,
2886,NAR,Northwood (MI),Timberwolves,Northwood (MI),,Northwood (MI),,
2888,OUA,Ouachita Baptist,Tigers,Ouachita Baptist,,Ouachita Baptist,,
2890,REIN,Reinhardt,Eagles,Reinhardt,,Reinhardt,,
2891,RIP,Ripon,Red Hawks,Ripon,,Ripon,,
2894,SIO,Sioux Falls,Cougars,Sioux Falls,,Sioux Falls,,
2896,SVA,Southern Virginia,Knights,Southern Virginia,,Southern Virginia,,
2900,STMN,St. Thomas (MN),Tommies,St. Thomas (MN),,St. Thomas (MN),,
2904,SWA,Southwestern Assemblies of God,Lions,Southwestern Assemblies of God,,Southwestern Assemblies of God,,
2907,TRN,Trinity International (IL),Trojans,Trinity International (IL),,Trinity International (IL),,
2909,WES,Westfield State,Owls,Westfield State,,Westfield State,,
2911,WJC,William Jewell College,Cardinals,William Jewell College,,William Jewell College,,
2912,WIL,William Penn,Statesmen,William Penn,,William Penn,,
2913,BRE,Brevard College,Tornados,Brevard College,,Brevard College,,
2916,IW,Incarnate Word,Cardinals,Incarnate Word,,Incarnate Word,,
2919,MON,Monmouth (IL),Fighting Scots,Monmouth (IL),,Monmouth (IL),,
2922,ONZ,Olivet Nazarene,Tigers,Olivet Nazarene,,Olivet Nazarene,,
2923,POM,Pomona-Pitzer,Sagehens,Pomona-Pitzer,,Pomona-Pitzer,,
2927,SWO,Southwestern Oklahoma,Bulldogs,Southwestern Oklahoma,,Southwestern Oklahoma,,
2930,WIL,Willamette,Bearcats,Willamette,,Willamette,,
2938,HUN,Huntingdon,Hawks,Huntingdon,,Huntingdon,,
2939,JAM,Jamestown,Jimmies,Jamestown,,Jamestown,,
2940,LVI,Livingstone,Blue Bears,Livingstone,,Livingstone,,
2948,STI,Stillman,Tigers,Stillman,,Stillman,,
2951,MAR,SUNY Maritime,Privateers,SUNY Maritime,,SUNY Maritime,,
2963,CSR,Case Western Reserve,Spartans,Case Western Reserve,,Case Western Reserve,,
2964,CEN,Central,Dutch,Central,,Central,,
2967,FRA,Framingham State,Rams,Framingham State,,Framingham State,,
2968,GUS,Gustavus Adolphus,Golden Gusties,Gustavus Adolphus,,Gustavus Adolphus,,
2969,MISC,Misericordia,Cougars,Misericordia,,Misericordia,,
2970,WMP,William Paterson,Pioneers,William Paterson,,William Paterson,,
2972,PLY,Plymouth State,Panthers,Plymouth State,,Plymouth State,,
2974,SHE,Shepherd,Rams,Shepherd,,Shepherd,,
2977,TRI,Trinity (CT),Bantams,Trinity (CT),,Trinity (CT),,
2980,OHI,Ohio Wesleyan,Battling Bishops,Ohio Wesleyan,,Ohio Wesleyan,,
2985,CMI,Concordia College (MI),Cardinals,Concordia College (MI),,Concordia College (MI),,
2986,FAI,Fairmont State,Falcons,Fairmont State,,Fairmont State,,
3066,CON,Concordia-St. Paul,Golden Bears,Concordia-St. Paul,,Concordia-St. Paul,,
3071,NOC,North Central,Cardinals,North Central,,North Central,,
3077,KCU,Kentucky Christian,Knights,Kentucky Christian,,Kentucky Christian,,
3080,WAL,Waldorf,Warriors,Waldorf,,Waldorf,,
3099,CON,Concordia (AL),Hornets,Concordia (AL),,Concordia (AL),,
3100,MON,Monterrey Tech,Rams,Monterrey Tech,,Monterrey Tech,,
3101,DIX,Dixie State,Red Storm,Dixie State,,Dixie State,,
3110,MOR,Morrisville State,Mustangs,Morrisville State,,Morrisville State,,
3111,APP,Apprentice School,Builders,Apprentice School,,Apprentice School,,
3112,CHR,Christopher Newport,Captains,Christopher Newport,,Christopher Newport,,
3130,WIL,Williamson Trade,Mechanics,Williamson Trade,,Williamson Trade,,
3144,SOU,SOUTH,All-Stars,SOUTH,,SOUTH,,
3145,NOR,NORTH,All-Stars,NORTH,,NORTH,,
3146,EAST,EAST,All-Stars,EAST,,EAST,,
3147,WEST,WEST,All-Stars,WEST,,WEST,,
3161,OSU,Ohio State Newark,Titans,Ohio State Newark,,Ohio State Newark,,
3162,ASC,Alfred State College,Pioneers,Alfred State College,,Alfred State College,,
3178,AMU,Ave Maria,Gyrenes,Ave Maria,,Ave Maria,,
3179,POINT,Point University,Point,Point University,,Point University,,
3181,STC,Shepherd Tech,Eagles,Shepherd Tech,,Shepherd Tech,,
3193,AMR,American,American,American,,American,,
3194,NTL,National,National,National,,National,,
3197,NFX,NORTH FLORIDA,STARS,NORTH FLORIDA,,NORTH FLORIDA,,
3198,SFX,SOUTH FLORIDA,STARS,SOUTH FLORIDA,,SOUTH FLORIDA,,
3209,LIND,Lindenwood Belleville,Lynx,Lindenwood Belleville,,Lindenwood Belleville,,
3210,COLE,Cole College,Jaguars,Cole College,,Cole College,,
3211,FAI,College of Faith,Warriors,College of Faith,,College of Faith,,
3212,UMEX,University of Mexico,University of Mexico,University of Mexico,,University of Mexico,,
3214,TRI,Trinity Bible,Lions,Trinity Bible,,Trinity Bible,,
3236,ECC,Erie Community College,Kats,Erie Community College,,Erie Community College,,
3237,HVCC,Hudson Valley CC,Vikings,Hudson Valley CC,,Hudson Valley CC,,
3253,COFC,College of Faith - Charlotte,Saints,College of Faith - Charlotte,,College of Faith - Charlotte,,
3254,UFFL,University of Faith,Glory Eagles,University of Faith,,University of Faith,,
5829,5829,Doane College,Doane,Doane College,,Doane College,,
6353,LAKE,Lakeland College,Lakeland,Lakeland College,,Lakeland College,,
6584,6584,Mcpherson College,Mcpherson,Mcpherson College,,Mcpherson College,,
6845,NWU,Nebraska Wesleyan University,Neb Wesleyan,Nebraska Wesleyan University,,Nebraska Wesleyan University,,
16111,BEN,Benedictine College,Bndctne Col,Benedictine College,,Benedictine College,,
101161,LYON,Lyon College,Scots,Lyon College,,Lyon College,,
102118,LSBG,Louisburg,Hurricanes,Louisburg,,Louisburg,,
102626,TXWE,Texas Wesleyan,Rams,Texas Wesleyan,,Texas Wesleyan,,
108354,HC,Holland College,Hurricanes,Holland College,,Holland College,,
108358,AZCR,Arizona Christian,Firestorm,Arizona Christian,,Arizona Christian,,
108382,COI,College of Idaho,Yotes,College of Idaho,,College of Idaho,,
109418,FINL,Finlandia University,Lions,Finlandia University,,Finlandia University,,
109423,FORK,Fork Union,Blue Devils,Fork Union,,Fork Union,,
109424,CINU,Central International University,Cardinals,Central International University,,Central International University,,
109425,GDCH,University of God&#39;s Chosen,Disciples,University of God&#39;s Chosen,,University of God&#39;s Chosen,,
110242,WFLA,West Florida,Argonauts,West Florida,,West Florida,,
110243,UTPB,University of Texas of the Permian Basin,Falcons,University of Texas of the Permian Basin,,University of Texas of the Permian Basin,,
110254,DU,Davenport,Panthers,Davenport,,Davenport,,
110255,CINCH,Cincinnati Christian,Eagles,Cincinnati Christian,,Cincinnati Christian,,
110263,MORTH,Morthland,Patriots,Morthland,,Morthland,,
110438,DEAN,Dean,Bulldogs,Dean,,Dean,,
