Visiter,VisRushY,VisRushA,VisPassY,VisPassA,VisPassC,VisPnl,VisPnlY,VisFmb,VisInt,VisFrstD,VisThrdDA,VisThrdDC,VisFrthDA,VisFrthDC,VisTm,Home,HomeRushY,HomeRushA,HomePassY,HomePassA,HomePassC,HomePnl,HomePnlY,HomeFmb,HomeInt,HomeFrstD,HomeThrdDA,HomeThrdDC,HomeFrthDA,HomeFrthDC,HomeTm,Year,Month,Day,HomeID,VisID
Tulsa,51,24,222,41,20,4,25,2,0,2,17,6,2,0,1273,Bowling Green,233,53,163,28,12,6,60,0,1,13,13,3,1,1,2327,2013,8,29,189,202.0
UNC,99,36,194,43,26,6,55,1,0,5,20,8,4,3,1827,South Carolina,228,38,178,21,12,7,53,0,0,9,14,5,2,1,1773,2013,8,29,2579,153.0
Liberty,33,22,189,22,14,4,30,0,0,2,10,2,1,0,1270,Kent State,167,49,194,28,21,9,79,1,0,11,18,9,3,1,2330,2013,8,29,2309,
Presbyterian,102,24,49,19,11,6,43,3,3,2,11,2,0,0,1299,Wake Forest,189,54,219,26,14,4,35,2,0,16,18,5,3,3,2301,2013,8,29,154,
Southern Utah,134,40,183,24,13,5,35,0,0,7,15,5,1,1,2025,South Alabama,187,34,148,28,18,7,60,0,1,8,14,5,0,0,1575,2013,8,29,6,
Utah State,173,39,314,40,31,7,94,1,0,8,17,10,0,0,1924,Utah,148,44,302,28,17,5,30,1,0,10,16,7,1,1,1676,2013,8,29,254,328.0
UNLV,193,34,226,51,36,1,15,0,2,8,18,6,4,4,1916,Minnesota,221,38,99,23,10,1,5,0,1,9,14,8,1,1,1684,2013,8,29,135,2439.0
Illinois State,74,36,282,29,20,6,40,1,1,6,14,6,2,2,1955,Ball State,80,32,340,40,24,5,40,0,0,4,16,10,0,0,1645,2013,8,29,2050,
Ole Miss,206,37,283,47,31,4,49,0,0,10,14,6,2,2,1754,Vanderbilt,126,33,300,36,21,5,40,0,2,7,16,8,1,1,1846,2013,8,29,238,145.0
USC,192,45,172,29,15,9,75,1,1,11,14,3,2,1,2008,Hawaii,23,31,208,41,16,4,48,0,4,4,18,4,2,1,1592,2013,8,29,62,30.0
Akron,134,35,116,25,18,6,49,1,1,7,16,8,0,0,1641,UCF,157,39,319,27,19,1,10,0,0,9,14,9,0,0,1959,2013,8,29,2116,2006.0
Sacramento St,86,39,192,40,23,8,45,0,2,5,21,8,4,2,2168,San Jose State,142,29,225,32,16,3,20,0,0,7,16,7,2,1,1432,2013,8,29,23,
Jackson State,112,48,244,29,15,9,78,2,4,6,20,9,2,2,2041,Tulane,158,43,150,16,7,4,27,0,0,9,12,5,0,0,1559,2013,8,29,2655,
Indiana State,131,39,175,32,12,7,83,1,1,7,16,3,3,1,1662,Indiana,313,54,319,30,17,6,66,1,2,13,18,9,2,1,1938,2013,8,29,84,
Towson,201,50,192,20,13,7,70,0,1,9,16,7,3,2,2183,UConn,81,27,206,28,16,5,32,1,1,3,13,4,2,1,1417,2013,8,29,41,
Rutgers,195,32,348,41,26,11,92,1,1,6,14,3,2,2,1908,Fresno State,81,23,456,73,52,5,65,2,1,6,18,5,2,2,1692,2013,8,29,278,164.0
W Carolina,114,35,257,36,19,6,56,0,2,8,15,4,1,0,1680,Mid Tennessee,270,49,205,27,19,7,75,2,0,13,15,8,1,0,1920,2013,8,29,2393,
FAU,133,43,117,32,16,3,25,1,0,9,19,6,1,0,1998,Miami (FL),303,38,200,31,18,8,67,0,1,10,14,4,3,1,1602,2013,8,30,2390,2226.0
N Arizona,94,39,176,36,21,5,60,0,3,6,19,4,5,4,2416,Arizona,306,34,87,13,9,2,30,0,0,9,10,4,1,0,1184,2013,8,30,12,
Morgan State,185,52,116,10,6,9,65,1,0,12,13,6,3,1,2068,Army,295,42,101,8,4,0,0,0,0,14,9,4,2,1,1532,2013,8,30,349,
North Dakota St,215,43,165,30,21,1,5,0,1,11,17,10,1,1,2163,Kansas State,41,23,280,29,21,2,10,0,2,3,10,2,2,1,1437,2013,8,30,2306,2449.0
Samford,105,36,193,31,19,4,20,0,1,4,14,4,1,0,1742,Georgia State,72,25,391,51,28,5,30,0,2,3,19,8,1,0,1858,2013,8,30,2247,
Texas Tech,48,27,413,60,43,8,80,0,0,3,18,10,0,0,1717,SMU,102,31,388,62,41,9,94,0,0,6,19,7,2,1,1883,2013,8,30,2567,2641.0
W Michigan,11,27,193,48,18,7,65,1,3,2,20,4,1,1,1606,Michigan State,181,42,116,37,17,6,75,1,0,11,19,5,0,0,1994,2013,8,30,127,2711.0
Southern,104,30,268,36,27,10,91,3,1,7,13,5,1,0,1820,Houston,372,50,255,38,26,14,126,0,0,21,13,4,1,1,1780,2013,8,30,248,2582.0
William & Mary,102,31,207,27,18,3,36,0,1,3,14,5,0,0,1815,West Virginia,172,44,237,27,19,5,50,1,0,11,10,2,1,1,1785,2013,8,31,277,
Miss St,111,37,222,33,17,11,74,0,2,7,16,2,4,3,2047,Oklahoma State,286,40,146,33,21,7,86,0,0,12,14,8,1,0,1553,2013,8,31,197,344.0
Old Dominion,90,23,370,52,39,4,35,1,0,6,14,8,1,0,1730,ECU,34,22,447,54,46,9,85,0,0,3,17,12,0,0,1870,2013,8,31,151,295.0
Miami (OH),74,34,165,23,10,3,35,0,1,3,13,2,2,0,1693,Marshall,304,57,287,37,24,2,21,0,1,19,17,9,2,1,1907,2013,8,31,276,193.0
Howard,202,35,182,32,19,6,45,0,2,5,15,7,1,0,1622,E Michigan,170,42,210,26,19,4,25,0,1,10,11,5,1,1,1978,2013,8,31,2199,
Washington St,120,23,344,65,35,5,21,0,3,9,17,7,4,2,1887,Auburn,295,46,99,20,10,5,30,1,0,10,14,4,0,0,1713,2013,8,31,2,265.0
Wofford,173,60,60,17,8,8,50,2,1,11,18,7,2,0,2099,Baylor,281,44,411,28,23,8,53,2,0,16,10,6,1,1,1501,2013,8,31,239,
Villanova,197,36,158,26,16,1,5,1,3,8,13,6,1,0,1755,Boston College,128,40,285,30,23,4,40,1,0,6,18,8,1,1,1845,2013,8,31,103,
UAB,108,30,339,35,21,13,96,0,0,7,13,2,3,2,1751,Troy,178,39,319,33,30,5,60,2,0,13,13,6,2,2,1849,2013,8,31,2653,5.0
Alabama,96,38,110,24,10,4,25,0,1,6,17,6,0,0,1845,VT,153,33,59,26,5,7,35,0,1,4,17,3,0,0,1755,2013,8,31,259,333.0
Colgate,157,41,143,27,14,3,15,0,0,11,15,7,2,1,1977,Air Force,409,64,72,11,7,8,75,0,0,24,13,10,0,0,1623,2013,8,31,2005,
Buffalo,73,35,185,32,19,6,62,0,1,8,14,3,2,1,1676,OSU,261,45,199,23,16,9,94,1,1,12,12,7,1,0,1924,2013,8,31,194,2084.0
Austin Peay,79,27,132,26,13,9,85,0,2,5,12,2,2,2,1784,Tennessee,315,52,132,21,15,0,0,1,0,19,11,7,0,0,1816,2013,8,31,2633,
Nicholls State,87,37,256,50,25,9,50,2,0,9,20,7,2,1,2414,Oregon,500,45,272,26,15,5,42,0,0,21,10,6,3,1,1186,2013,8,31,2483,
Northern Iowa,228,33,229,29,22,2,10,2,0,9,10,5,1,1,1687,Iowa State,168,44,242,32,22,4,30,0,0,12,17,7,2,1,1913,2013,8,31,66,
Wyoming,219,30,383,44,29,8,74,0,2,9,8,1,1,1,1442,Nebraska,375,63,155,22,17,10,84,1,1,17,17,9,1,0,2158,2013,8,31,158,2751.0
UMass,100,29,112,30,14,7,40,1,1,3,14,6,1,0,1669,Wisconsin,393,44,205,18,10,5,45,0,1,14,11,8,0,0,1931,2013,8,31,275,113.0
FIU,91,40,80,22,10,3,24,1,1,6,17,4,3,1,1555,Maryland,251,42,325,29,25,2,10,2,0,12,13,4,1,0,2045,2013,8,31,120,2229.0
N Illinois,163,42,275,41,25,8,64,1,0,10,20,7,3,2,1760,Iowa,202,43,256,37,21,6,35,1,2,10,17,7,1,0,1840,2013,8,31,2294,2459.0
LA Tech,143,33,178,27,15,5,21,4,0,7,10,2,0,0,1155,North Carolina St,237,56,305,31,18,5,41,0,1,13,18,9,0,0,2445,2013,8,31,152,2348.0
Cent Michigan,66,29,144,28,13,8,74,1,1,5,14,4,0,0,1544,Michigan,242,47,221,21,14,7,55,0,3,9,15,10,2,2,2056,2013,8,31,130,2117.0
Temple,134,29,228,47,23,5,40,1,0,9,15,6,2,0,1687,Notre Dame,188,35,355,27,17,9,63,0,0,8,13,5,0,0,1913,2013,8,31,87,218.0
S Illinois,66,26,341,41,26,6,56,1,0,3,15,5,1,0,1848,Illinois,49,30,415,37,29,8,70,1,1,4,14,6,0,0,1752,2013,8,31,356,
Idaho,139,36,230,28,19,11,74,3,0,5,14,5,2,0,1721,North Texas,187,45,404,34,28,7,72,1,1,7,14,8,4,1,1879,2013,8,31,249,70.0
BYU,187,53,175,40,13,7,43,0,1,11,23,7,2,1,1551,UVA,109,42,114,32,18,6,41,1,1,5,20,6,0,0,2049,2013,8,31,258,252.0
UTSA,157,33,237,34,21,5,40,1,0,9,10,3,0,0,1931,New Mexico,193,42,84,17,6,1,5,0,0,11,13,2,3,1,1669,2013,8,31,167,2636.0
Boise State,171,42,175,46,29,2,19,0,1,10,19,8,2,1,1851,Washington,268,54,324,31,23,8,61,0,1,17,15,11,1,0,1749,2013,8,31,264,68.0
Georgia,222,41,323,29,20,9,84,1,1,6,14,4,3,2,1938,Clemson,197,46,270,30,18,5,38,1,0,9,16,7,1,1,1662,2013,8,31,228,61.0
Murray State,123,36,174,39,23,4,19,0,3,7,19,8,1,1,1841,Missouri,358,45,336,42,28,2,20,1,0,16,16,11,1,0,1759,2013,8,31,142,
Nevada,171,51,182,35,21,4,20,0,0,11,20,8,3,2,2033,UCLA,345,47,302,35,24,12,93,1,0,18,12,9,1,1,1567,2013,8,31,26,2440.0
NC Central,81,29,103,32,14,5,25,1,1,4,19,6,1,0,1656,Duke,257,49,231,28,21,7,57,0,1,14,13,7,1,1,1944,2013,8,31,150,
Kentucky,216,32,203,28,18,10,69,1,0,9,15,6,1,1,1498,W Kentucky,216,41,271,34,27,5,35,2,0,13,10,2,1,1,2102,2013,8,31,98,96.0
LSU,197,48,251,32,16,7,42,1,0,9,19,13,0,0,2161,TCU,114,26,145,28,15,9,55,1,1,7,13,7,0,0,1439,2013,8,31,2628,99.0
New Mexico St,104,38,242,46,32,3,25,2,1,3,18,5,3,2,2172,Texas,359,42,356,30,22,3,35,1,2,17,11,6,1,0,1428,2013,8,31,251,166.0
McNeese State,180,42,244,25,16,4,33,0,1,9,15,6,1,1,2154,USF,133,21,209,40,19,3,44,1,2,5,13,3,5,2,1446,2013,8,31,58,
Northwestern,209,40,299,30,19,5,50,1,2,6,16,8,0,0,1776,Cal,93,35,455,64,39,10,79,0,3,6,21,10,2,2,1824,2013,8,31,25,77.0
Penn State,57,38,296,32,23,4,20,2,2,5,16,1,2,2,1845,Syracuse,71,37,189,37,16,8,70,1,2,3,20,6,2,0,1755,2013,8,31,183,213.0
E Illinois,172,36,361,46,31,9,62,2,0,7,17,6,2,1,1330,San Diego State,122,35,318,64,27,7,65,1,4,9,23,7,5,1,2270,2013,8,31,21,
LA-Lafayette,85,32,189,31,17,1,5,1,1,6,12,4,2,1,1368,Arkansas,292,51,230,23,15,4,30,1,0,15,13,7,2,1,2232,2013,8,31,8,309.0
Texas State,73,41,134,21,14,6,60,1,0,4,16,5,0,0,2056,Southern Miss,23,24,377,53,28,2,10,4,2,2,20,5,4,0,1544,2013,8,31,2572,326.0
Rice,306,51,203,37,21,8,53,0,2,16,17,7,3,2,2304,Texas A&M,202,39,284,27,20,5,51,1,0,13,10,4,1,1,1296,2013,8,31,245,242.0
UL Monroe,38,22,128,39,20,2,21,0,1,0,16,2,2,0,1641,Oklahoma,305,50,124,33,14,7,78,0,1,18,17,7,0,0,1959,2013,8,31,201,2433.0
Toledo,50,16,155,38,17,4,45,0,1,2,13,1,1,0,1212,Florida,262,48,153,22,17,10,70,1,0,12,12,6,0,0,2388,2013,8,31,57,2649.0
AR-Pine Bluff,12,31,161,27,13,8,48,0,0,3,15,1,3,0,1840,Arkansas State,509,57,163,13,10,2,15,2,0,19,12,9,2,0,1760,2013,8,31,2032,
E Washington,177,37,448,34,26,8,59,0,0,12,10,5,1,1,1697,Oregon State,105,24,422,44,37,4,17,0,0,7,8,4,0,0,1903,2013,8,31,204,
Purdue,65,22,161,35,18,7,40,2,2,5,12,4,3,1,1572,Cincinnati,221,47,204,25,17,2,10,1,2,8,15,9,4,3,2028,2013,8,31,2132,2509.0
Elon,89,34,164,35,20,2,20,1,3,6,16,6,1,1,1955,Georgia Tech,368,50,189,11,7,3,25,0,0,16,9,8,0,0,1645,2013,8,31,59,
Ohio,81,28,192,31,15,2,10,0,1,5,15,5,1,0,1364,Louisville,199,40,416,31,25,11,90,0,1,6,16,13,1,0,2236,2013,9,1,97,195.0
Colorado,109,37,400,46,33,8,68,0,0,6,18,7,0,0,2010,Colorado State,94,28,201,39,22,4,50,2,0,6,14,2,3,1,1590,2013,9,1,36,38.0
FSU,156,34,377,29,27,7,70,0,0,7,11,7,0,0,2108,Pitt,96,27,201,28,15,4,26,0,2,7,8,2,1,0,1492,2013,9,2,221,52.0
FAU,104,34,178,40,23,2,9,1,2,5,18,7,2,1,2043,ECU,110,34,202,30,20,7,44,2,0,5,13,5,1,1,1557,2013,9,5,151,2226.0
Sacramento St,51,31,116,23,12,5,31,2,2,2,15,4,0,0,1668,Arizona State,158,44,365,36,27,1,5,0,0,8,16,8,2,1,1932,2013,9,5,9,
Wake Forest,55,39,191,30,18,5,44,2,1,7,14,4,2,1,1925,Boston College,191,46,123,14,7,0,0,0,1,11,11,3,0,0,1675,2013,9,6,103,154.0
UCF,165,38,225,21,14,5,39,0,0,6,12,5,0,0,1856,FIU,31,29,142,28,19,4,31,1,0,4,15,3,1,1,1744,2013,9,6,2229,2116.0
Arkansas State,150,39,272,41,29,6,53,1,0,9,18,8,3,0,1974,Auburn,301,50,167,19,11,9,91,1,0,17,14,7,1,1,1626,2013,9,7,2,2032.0
Oklahoma State,87,32,518,43,35,7,60,0,0,6,9,5,0,0,1541,UTSA,135,32,369,50,30,6,40,0,2,11,14,6,3,3,2059,2013,9,7,2636,197.0
Syracuse,133,34,301,45,29,7,52,0,4,10,13,6,0,0,1627,Northwestern,206,44,375,37,30,6,55,0,0,9,18,10,1,0,1973,2013,9,7,77,183.0
San Diego State,64,27,216,41,22,5,50,2,2,6,16,3,1,1,1672,OSU,263,40,182,30,21,8,75,0,1,12,15,7,3,2,1928,2013,9,7,194,21.0
Oregon,350,40,207,29,15,11,119,0,0,14,10,3,2,0,1285,UVA,124,39,174,47,31,4,45,1,3,4,20,6,3,0,2315,2013,9,7,258,2483.0
Prairie View A&M,45,25,182,42,26,8,59,1,0,5,15,6,2,0,1308,Texas State,242,43,166,27,17,11,86,0,0,11,16,8,1,1,2292,2013,9,7,326,
Hawaii,69,25,170,32,18,5,44,0,1,3,11,1,1,0,1210,Oregon State,57,33,451,50,35,7,76,0,1,7,19,8,4,3,2390,2013,9,7,204,62.0
Sam Houston,240,42,150,16,7,7,41,0,2,8,16,6,2,1,1759,Texas A&M,214,39,500,48,34,4,35,0,1,13,15,11,1,0,1841,2013,9,7,245,
E Kentucky,107,42,99,16,10,5,60,1,1,7,13,5,0,0,1847,Louisville,78,28,397,34,23,4,40,0,0,5,13,7,0,0,1753,2013,9,7,97,
USF,89,35,66,26,6,8,55,1,1,4,13,1,1,0,1711,Michigan State,171,38,94,24,12,9,94,2,0,10,14,4,2,1,1839,2013,9,7,127,58.0
SE Louisiana,207,45,132,23,12,6,35,1,2,11,14,5,1,0,1796,TCU,169,38,233,28,17,5,50,0,0,7,13,5,4,1,1804,2013,9,7,2628,
Arizona,397,69,81,21,8,5,35,1,0,20,20,10,4,2,2138,UNLV,157,35,125,28,9,8,70,1,2,8,15,4,3,0,1462,2013,9,7,2439,12.0
Utah State,217,46,360,40,32,8,70,1,1,12,15,11,1,1,1923,Air Force,162,49,108,18,6,7,43,1,0,7,15,2,4,3,1677,2013,9,7,2005,328.0
Cincinnati,148,32,308,42,23,7,48,0,1,9,13,3,2,0,1412,Illinois,210,39,312,37,26,5,24,0,0,12,15,9,0,0,2188,2013,9,7,356,2132.0
UAB,160,43,136,25,9,5,35,1,0,8,16,5,2,1,2010,LSU,152,34,293,20,17,5,45,1,0,9,8,4,0,0,1590,2013,9,7,99,5.0
SE Missouri St,93,41,159,24,16,4,25,1,1,8,14,6,1,0,2000,Ole Miss,272,50,260,32,14,3,15,2,1,15,17,10,4,3,1600,2013,9,7,145,
Toledo,125,23,262,41,26,9,53,0,3,4,11,4,0,0,1643,Missouri,172,47,212,25,16,4,50,0,1,11,15,9,1,1,1951,2013,9,7,142,2649.0
Cent Arkansas,60,26,280,55,33,6,51,1,3,2,19,6,3,2,1998,Colorado,84,34,341,36,23,8,64,2,2,8,12,5,0,0,1602,2013,9,7,38,
JMU,188,51,310,43,29,9,72,1,1,12,20,9,3,2,2300,Akron,69,25,287,32,20,7,70,0,1,2,13,8,0,0,1300,2013,9,7,2006,
South Carolina,226,36,228,25,16,5,40,1,0,8,11,5,3,1,1498,Georgia,227,53,309,23,17,5,16,0,0,12,14,6,3,2,2102,2013,9,7,61,2579.0
Buffalo,83,49,280,26,15,3,35,1,1,6,19,6,2,0,2022,Baylor,329,55,452,25,19,10,125,0,0,19,13,8,2,1,1578,2013,9,7,239,2084.0
San Jose State,35,23,216,44,29,6,57,0,1,9,12,3,4,3,1671,Stanford,197,41,207,27,17,2,25,1,0,14,15,12,0,0,1929,2013,9,7,24,23.0
South Alabama,168,44,297,33,20,9,78,1,2,8,15,6,2,0,1797,Tulane,45,27,327,47,29,8,85,1,1,6,16,7,1,0,1803,2013,9,7,2655,6.0
Southern Miss,62,27,222,37,21,7,55,0,4,4,13,4,1,0,1685,Nebraska,285,46,194,28,19,6,75,1,0,16,12,7,1,1,1915,2013,9,7,158,2572.0
Austin Peay,85,34,54,16,11,8,51,1,0,5,14,3,0,0,1847,Vanderbilt,169,35,273,29,19,5,24,0,1,7,11,4,0,0,1753,2013,9,7,238,
W Carolina,111,40,51,14,4,4,16,0,3,4,13,2,0,0,1826,VT,237,34,225,35,20,3,15,1,2,12,13,7,1,1,1774,2013,9,7,259,
Savannah State,14,24,133,25,12,4,25,1,1,3,12,2,1,0,1597,Troy,251,40,280,32,28,7,75,0,0,15,11,7,2,1,2003,2013,9,7,2653,
SF Austin,69,32,287,44,26,10,84,1,1,3,18,5,4,1,1933,Texas Tech,237,37,494,47,32,10,106,2,2,11,12,8,0,0,1667,2013,9,7,2641,
Duke,173,45,297,37,25,6,52,2,1,10,18,10,2,1,2083,Memphis,89,33,148,24,14,5,60,2,0,4,13,2,4,0,1517,2013,9,7,235,150.0
Bowling Green,219,46,357,25,19,5,40,0,0,11,12,6,0,0,2192,Kent State,138,28,164,28,15,2,10,1,0,6,13,6,0,0,1408,2013,9,7,2309,189.0
Miami (OH),99,43,23,14,4,5,30,0,0,4,16,1,2,1,1845,Kentucky,262,39,413,35,25,11,117,1,0,14,11,4,0,0,1755,2013,9,7,96,193.0
Houston,219,48,305,48,29,8,77,2,0,11,17,7,1,0,1823,Temple,100,39,200,39,20,9,58,1,2,8,18,9,2,1,1777,2013,9,7,218,248.0
Washington St,7,22,215,38,26,8,87,1,2,1,15,5,0,0,1665,USC,139,42,54,21,11,3,19,0,2,9,13,3,2,1,1935,2013,9,7,30,265.0
Lamar,90,36,272,37,23,2,25,1,1,7,14,3,2,1,1854,LA Tech,273,38,166,32,22,8,55,0,0,11,16,6,1,0,1746,2013,9,7,2348,
Portland State,245,39,308,29,13,9,84,1,1,13,12,3,1,0,1663,Cal,131,44,485,51,33,6,60,1,0,9,20,10,1,0,1937,2013,9,7,25,
W Kentucky,171,34,222,36,17,8,70,2,5,8,15,8,0,0,1956,Tennessee,240,45,142,19,11,2,17,0,1,12,10,4,0,0,1644,2013,9,7,2633,98.0
New Mexico,395,57,88,7,4,3,45,1,0,22,9,3,2,2,1916,UTEP,280,46,119,20,15,4,30,0,0,14,11,5,2,1,1684,2013,9,7,2638,167.0
Chattanooga,401,60,108,15,11,3,14,0,0,19,14,10,1,1,2322,Georgia State,30,17,273,35,17,4,25,0,0,2,14,6,1,0,1278,2013,9,7,2247,
Mid Tennessee,158,42,243,41,24,7,63,1,3,10,18,8,2,0,1967,UNC,134,41,377,36,25,4,50,1,1,7,16,9,1,1,1633,2013,9,7,153,2393.0
Florida,122,44,291,33,22,10,70,3,2,9,15,6,1,0,2300,Miami (FL),50,28,162,25,12,5,58,0,1,3,11,1,0,0,1300,2013,9,7,2390,57.0
Weber State,69,43,136,25,13,6,55,2,0,7,17,4,1,1,1983,Utah,338,38,290,24,17,4,35,0,0,14,11,5,2,1,1617,2013,9,7,254,
Notre Dame,96,19,314,53,29,4,33,0,2,7,15,8,2,0,1556,Michigan,166,39,294,33,21,6,50,0,1,11,12,6,0,0,2044,2013,9,7,130,87.0
Army,363,64,76,20,7,8,90,2,1,15,19,7,5,3,1939,Ball State,115,34,325,37,23,7,44,1,0,6,13,6,0,0,1661,2013,9,7,2050,349.0
Norfolk State,59,27,74,27,8,7,51,1,1,2,13,1,1,1,1429,Rutgers,273,56,150,22,12,11,90,0,1,13,18,8,2,1,2171,2013,9,7,164,
Gardner-Webb,67,44,117,20,9,5,37,3,3,7,13,3,0,0,1976,Marshall,224,39,285,35,22,9,74,0,1,10,12,3,4,2,1624,2013,9,7,276,
Minnesota,342,43,127,15,8,4,37,0,1,16,9,2,0,0,1691,New Mexico St,103,41,253,40,29,1,25,1,0,7,16,7,3,1,1909,2013,9,7,166,135.0
South Dakota,219,43,67,18,8,5,54,0,1,11,13,3,0,0,1969,Kansas,280,50,110,20,10,9,71,1,0,15,11,4,2,1,1631,2013,9,7,2305,
Alcorn State,28,25,135,25,11,5,32,2,1,1,14,2,1,0,1267,Miss St,277,54,279,33,20,3,25,0,1,14,14,6,6,2,2333,2013,9,7,344,
Colorado State,178,35,108,29,12,9,123,1,2,5,17,4,0,0,1699,Tulsa,215,44,212,39,21,5,45,2,1,11,18,5,3,1,1901,2013,9,7,202,36.0
UNH,158,43,227,27,17,5,40,1,1,6,14,5,1,1,1841,Cent Michigan,104,28,333,37,21,2,20,0,1,4,15,6,2,0,1759,2013,9,7,2117,
Navy,444,70,71,5,2,5,40,0,0,24,11,4,4,3,2227,Indiana,118,26,363,43,31,6,51,0,1,7,12,8,3,2,1373,2013,9,7,84,2426.0
Texas,132,39,313,44,24,4,45,0,0,7,17,5,3,0,1735,BYU,550,72,129,27,9,8,68,1,1,24,21,10,1,1,1865,2013,9,7,252,251.0
Nicholls State,222,40,225,18,10,9,70,2,1,8,11,5,0,0,1674,W Michigan,231,44,254,43,24,8,90,0,2,13,15,6,2,0,1926,2013,9,7,2711,
LA-Lafayette,177,40,193,31,18,5,27,0,1,9,16,7,2,0,1660,Kansas State,149,37,305,34,23,4,39,0,2,10,14,8,1,0,1940,2013,9,7,2306,309.0
Maine,247,45,267,28,20,7,69,2,1,12,15,7,1,1,2261,UMass,64,22,201,42,20,3,54,1,1,4,16,5,2,1,1339,2013,9,7,113,
UC Davis,118,25,178,27,13,7,66,0,2,3,12,3,1,0,1493,Nevada,267,64,268,27,21,5,51,1,0,14,19,11,3,2,2107,2013,9,7,2440,
